,Date,Open,High,Low,Close,Adj Close,Volume
98,2021-12-17,13.26,13.78,13.19,13.67,12.900195,719500
99,2021-12-20,13.59,13.59,13.15,13.46,12.702021,538600
100,2021-12-21,13.5,13.7,13.08,13.11,12.37173,393200
101,2021-12-22,13.11,13.43,13.0,13.21,12.466099,590300
102,2021-12-23,13.2,13.32,12.91,13.09,12.352858,1348100
103,2021-12-27,13.11,13.18,12.855,13.05,12.315109,660500
104,2021-12-28,13.05,13.23,12.96,13.1,12.362295,580300
105,2021-12-29,13.16,13.18,12.76,12.79,12.06975,548300
106,2021-12-30,12.87,13.27,12.81,13.12,12.381168,577500
107,2021-12-31,13.08,13.4,13.05,13.32,12.569905,231800
